-1	To replicate the experiment you might need to know how much vinegar to put in the cups.
1	1. Firstly, the group could provide more information about the materials such is what they are, how big they are, what category the material needs to be in order to conduct this experiment ^p 2. The group does not explain how much vinegar should be poored into the container- how much is needed? ^p 3. The group does not tell what should be used to take out the sample from the container. Even though this is just vinegar, their procedure does not follow the safety rules of the lab. Goggle inclusion would also be rise.
-1	After I had finish reading the information,I think I would need four types of vinegar but identical and four containers then I would need to determine the mass of each sample.
-1	Some additional information I would need in order to replicate the experiment would be how much vinegar do I put  in each container. Also what am I supposed to label the container? I'm not quite sure how to measure the mass by using  a scale?. If so, the same scale for each sample. Also, how big are the samples sapposed to be?.
-1	Two ways that the students could have improved the experimental design and for validity of the results was probelly trying the experiment with a bigger cup not a small cup. Second would be then potting more weight to the cup and then maybe their would be a difference on the experiment.
-1	A) Plastic type A stretched the most, (2mm) and type D did not.stretch at all. ^P B) All plastics started at the same length. Make sure the temperature is the same.
1	To replicate this experiment you would need the following information. You would need the amount of vinegar, the students used, you would need the type of samples they used and would also need the type of containers that were used. Also you would need the starting masses of each of the samples that the students used.
-1	Pandas in China are similar to koalas in Australia. Both of these animals however are different from pythons. Pandas that live in China eat almost nothing but bamboo. Koalas in Australia eat almost exclusively eucalyptus leaves. Pythons eat a variety of food, and can live in the U.S from Cali to Delaware in the southern half. Pandas and koalas are specialists because they eat and adapt very well to other environments. Pythons are specialists because they can adapt.
-1	In the information they talk about all the procedures that the students did on there experiment. The students listed  everything  but they didn't give us the time they started. So you will know when to start the 24 hours. So you can drain them and let them come out.
-1	To replicate this experiment, you would need to know the mass (amount) of vinegar used in each cup. It is also necessary to know the temperature of the room that the experiment was performed in. A different temperature could speed or slow the reaction in each cup. The last piece of information required would be he size of the cup used in the experiment. The volume of the cup and/ or the shape of the cup could completely alter the results of the experiment.
-1	The students could have impared the experiment by doing the amount many times to check if it was accurate.
-1	The 3 pieces of information you would kneed to know in order to replicate the experiment is, you need to know how much vinegar you are going to pour in each container, how big in diameter the marble are and what is the mass before you put the marble in the vinegar.
1	(a) A conclusion that could be drawn based on the students data is that plastic type B can stretch the most with T1 being 22mm and T2 being 23. And plastic type A stretching the shortest with T1 at 10mm and T2 at 23mm. ^p (b) The student should have made sure that all plastics strips are the same length and the student should have tape all the stips in the same spot.
-1	To conclude, plastic type B stretched more in trial 2. It stretched 23mm, the plastic that least stretched was plastic type A. It only stretched 12mm for trial 2 and 10mm for trial 1. This means plastic B is the strongest and plastic A is the weakest, also plastic D stayed constant for trial 1 and 2.
-1	Pandas in China and koalas in Australia are similar because they are specialists. They live only in these environments because of the bamboo and eucalyptus. They can't live anywhere else or they wouldn't survive. They are different from pythons because pythons can live almost anywhere. Potentially from Delaware to Northern CA. offering a wider range.
-1	Plastic stretched the most it had stretched 22 mm and 23mm. Plastic A stretched the least it stretched 10mm and 12mm. The students would have improved they experiment by writing more details like writing what was the begging length and write how much the weights weighed. They also could have put an experimental control like using a piece of metal instead of plastic.
-1	The conclusion I can draw from based on the student's data is that A.B increased, while C decreased and D stayed the same. 2 ways the student could have improved the experiment is by 1st the way the decided to do the experiment. They should have checked to see if after the 1st trial if it would go back to its normal form. 2nd: They should have mentioned what the size was before the experiment was started.
