0	I would need to know how much vinegar  they used. How big the materials were that they used what kind of containers they were using.
0	Say the amount of vinegar put into each cup, how do you determine the mass ? And
0	A) My conclusion is that the expirement was very un organized and not well thought - out. ^p B)These student could have improved their expiremental design by one, telling us the materials they used like what kind of plastic objects they used like whether or not they were strechable. Just to give us more of a second thought about how theyre data came out. they could have organized their data alot better.
0	We would need to know the time between the starting point and the end point.
0	We would need to know how much vinegar to use in each contaner, also what type of container shold be used and if we're usin pure vineger or if its a solution. Lastly it would be helpful to throw if the containers were left and at room temperature over the 24 hours.
0	Based on the students data, it looks like all 4 types of plastic stretched at least 10mm. The most amount stretched was 22mm for plastic type B then 20mm for D, 14 mm for c and 10mm for A. ^p To make the experiment more valid the student could perform more trials maybe using a different type of clamp or other weights to  test the plastic's flexibility.
0	"Additional information that is needed in order to replicate the experiment is the measur ments of the liquids poured into the cups. Also wat size cups are the liquids poured into. In the procedure it says ""pour vinegar in each of four separate, but identical containers"". That is the additional information that is needed in order to replicate the experiment."
0	In order to replicate this experiment  I need to know the materials, what kind of sample material, and why are they doing the experiment. How much vinegar rinse or how long
0	Pandas and Koalas are both alike because they are specialists. They both consume a primary food. For example pandas' diets are mainly made up of bamboo; Koalas diets mainly consist of eucalyptus leaves. They differ from pythons because they can only live in places where their primary food source is present.
0	They would have to add put each four different sample, in four separate, but identical containers in which you poured the vinegar. Butthey have to tell you the amount of vinegar to pour in all four identical containers.
0	In order to replicate this experiment you would need to know the amount of vinegar used, how moch sample there was and what times the experiments were preformed at.
0	According to the students data I would conclude that plastic B was the most stretchy compared to the other 3 plastics. The students could of added the weights in the same exact order and made sure she measured in the same measurements.
0	The pieces they forgot to include were, how much vinegar did they use to test each sample and also how much was each sample used in this investigation. Also they forgot to write how long you need to leave the vinegar in the containers was in the substances.
0	Based on the data table plastic. Types A, B, C and  D. Plastic A was the weakest because it stretched 22 mm to 23 mm. The student could have made this experimental better if the do more trail and the temperature of the plastic.
0	I would need to know why wood did not change?Why limestone it bigger and why plastic is small number
0	a. Plastic type B stretched the most out of all the plastics. Therefore plastic type B is the weakest. ^P b. two ways the students could have improved their experiment is clampy how much weight is put on to the clamps. Also, they should do one more trial to make the experiment more accurate.
0	I say that type B plastic would work the best because it stretches more. One way the students could have made their experiment is could have used specific type of weights. ( We didn't know the weight of them). They could have also repeated the trials.
0	3 pieces of information I would include to replicate ths procedure would be to pour less vinegar in each container, let samples sit and dry for 30 min and leave samples for 20 hours. I choose that to see if anything different would happen to the mass then what happened to it the first time they tried this experiment.
0	I would need to know how much vinegar to be able to do this experiment.
0	A, In this experiment the plastic B stretched the most because it went 23mm and A went 12mm and 13mm and D 20mm. B. They could have improved there experiment by doing more trials, and have the plastics of the same lenghth.
0	Plastic type A had the most impact on stretching, type B and C only stretch out one mm longer & type a was the same.^p The student could have added more plastic types and let the weights clamps hang for a longer time.
0	What we need is two determine the mass of the samples and the label and they reely need to rinse it more.
0	The additonal information you would need to replicate this experiment would be how much of each sample and what kind. You would also need to know how they determined the mass. You would also need to know how much vinegar they used in each cup. It would also be helpful to know what kind of environment the samples would need to be in.
0	Additional information you would need would be to put more time. A sample to write down the starting time & ending time, & try other samples next time.
0	The additional information that I would need in order to replicate this experiment is where do I leave the containers after I finish putting all the samples into different containers.
